sid,subject,present,total,percentage
1,CO,1,1,100.0
1,Java,3,7,42.857142857142854
1,Maths,1,7,14.285714285714285
2,CO,1,1,100.0
2,Java,3,7,42.857142857142854
2,Maths,4,7,57.14285714285714
2,OOPS,1,2,50.0
10,Maths,2,7,28.57142857142857
11,Maths,2,7,28.57142857142857
12,Maths,1,7,14.285714285714285
77,CO,1,1,100.0
100,CO,1,1,100.0
100,Java,2,7,28.57142857142857
100,Maths,3,7,42.857142857142854
