sid,subject,present
0,CO,1
0,Java,7
0,Maths,7
0,OOPS,2
1,CO,1
1,Java,3
1,Maths,1
2,CO,1
2,Java,3
2,Maths,4
2,OOPS,1
10,Maths,2
11,Maths,2
12,Maths,1
77,CO,1
100,CO,1
100,Java,2
100,Maths,3
