127.0.0.1, 2019-02-07 00:26:47, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.001034
127.0.0.1, 2019-02-07 00:26:47, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.000546
127.0.0.1, 2019-02-07 00:26:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000190
127.0.0.1, 2019-02-07 00:28:11, GET, /gui/default/attendence, HTTP/1.1, 500, 1.875705
127.0.0.1, 2019-02-07 00:28:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000239
127.0.0.1, 2019-02-07 00:41:26, GET, /gui/default/attendence, HTTP/1.1, 500, 0.820665
127.0.0.1, 2019-02-07 00:41:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
127.0.0.1, 2019-02-07 00:41:28, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-41-25.bd5177b2-9616-48b3-83ff-c71270c05dbe, HTTP/1.1, 200, 0.059568
127.0.0.1, 2019-02-07 00:41:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000262
127.0.0.1, 2019-02-07 00:43:15, GET, /gui/default/attendence, HTTP/1.1, 500, 0.112813
127.0.0.1, 2019-02-07 00:43:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000377
127.0.0.1, 2019-02-07 00:43:16, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-43-15.feff10de-38c9-432b-8664-96be00c1ecc1, HTTP/1.1, 200, 0.032351
127.0.0.1, 2019-02-07 00:43:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2019-02-07 00:43:55, GET, /gui/default/attendence, HTTP/1.1, 500, 2.073476
127.0.0.1, 2019-02-07 00:43:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2019-02-07 00:48:18, GET, /gui/default/attendence, HTTP/1.1, 500, 3.835217
127.0.0.1, 2019-02-07 00:48:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
127.0.0.1, 2019-02-07 00:48:59, GET, /gui/default/attendence, HTTP/1.1, 500, 1.105938
127.0.0.1, 2019-02-07 00:48:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2019-02-07 00:49:01, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-48-57.f6d1e279-7edf-4aa7-9885-9ea94aca98a7, HTTP/1.1, 200, 0.177868
127.0.0.1, 2019-02-07 00:49:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
127.0.0.1, 2019-02-07 00:50:28, GET, /gui/default/attendence, HTTP/1.1, 500, 0.365295
127.0.0.1, 2019-02-07 00:50:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000654
127.0.0.1, 2019-02-07 00:50:29, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-50-28.4013ad82-608b-4b3e-a93e-0f864ba35087, HTTP/1.1, 200, 0.069226
127.0.0.1, 2019-02-07 00:50:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2019-02-07 00:50:39, GET, /gui/default/attendence, HTTP/1.1, 500, 0.452398
127.0.0.1, 2019-02-07 00:50:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000189
127.0.0.1, 2019-02-07 00:50:40, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-50-38.aeda16ef-fe5f-403e-b671-661c380123ef, HTTP/1.1, 200, 0.035685
127.0.0.1, 2019-02-07 00:50:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000235
127.0.0.1, 2019-02-07 00:50:51, GET, /gui/default/attendence, HTTP/1.1, 500, 0.110266
127.0.0.1, 2019-02-07 00:50:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
127.0.0.1, 2019-02-07 00:50:52, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-50-51.3fd293e3-b1a5-4092-8cdb-80e5503c1f0c, HTTP/1.1, 200, 0.042570
127.0.0.1, 2019-02-07 00:50:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000187
127.0.0.1, 2019-02-07 00:51:13, GET, /gui/default/index, HTTP/1.1, 200, 0.048845
127.0.0.1, 2019-02-07 00:51:16, GET, /gui/default/index, HTTP/1.1, 200, 0.021298
127.0.0.1, 2019-02-07 00:51:16, GET, /gui/static/images/favicon.ico, HTTP/1.1, 200, 0.023588
127.0.0.1, 2019-02-07 00:51:17, GET, /gui/default/attendence, HTTP/1.1, 500, 0.100311
127.0.0.1, 2019-02-07 00:51:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2019-02-07 00:51:19, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-51-17.3588cff7-b599-4e71-a2d4-0dae0212db2e, HTTP/1.1, 200, 0.037078
127.0.0.1, 2019-02-07 00:51:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
127.0.0.1, 2019-02-07 00:52:13, GET, /gui/default/attendence, HTTP/1.1, 500, 0.101274
127.0.0.1, 2019-02-07 00:52:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
127.0.0.1, 2019-02-07 00:52:15, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-52-13.9848ca45-8664-4fba-8184-7b4e32c583e9, HTTP/1.1, 200, 0.037367
127.0.0.1, 2019-02-07 00:52:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2019-02-07 00:55:28, GET, /gui/default/attendence, HTTP/1.1, 500, 0.042887
127.0.0.1, 2019-02-07 00:55:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000425
127.0.0.1, 2019-02-07 00:55:29, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-55-28.b0056e69-9682-440c-86ee-50fc884bf8b1, HTTP/1.1, 200, 0.024100
127.0.0.1, 2019-02-07 00:55:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000218
127.0.0.1, 2019-02-07 00:56:06, GET, /gui/default/attendence, HTTP/1.1, 303, 0.332506
127.0.0.1, 2019-02-07 00:56:06, GET, /gui/default/index.html, HTTP/1.1, 200, 0.022859
127.0.0.1, 2019-02-07 00:56:08, GET, /gui/default/attendence, HTTP/1.1, 303, 0.032422
127.0.0.1, 2019-02-07 00:56:08, GET, /gui/default/index.html, HTTP/1.1, 200, 0.018165
127.0.0.1, 2019-02-07 00:56:10, GET, /gui/default/attendence, HTTP/1.1, 303, 0.031955
127.0.0.1, 2019-02-07 00:56:10, GET, /gui/default/index.html, HTTP/1.1, 200, 0.025099
127.0.0.1, 2019-02-07 00:56:37, GET, /gui/default/index.html, HTTP/1.1, 200, 0.084447
127.0.0.1, 2019-02-07 00:56:37, GET, /gui/static/images/favicon.ico, HTTP/1.1, 200, 0.000600
127.0.0.1, 2019-02-07 00:56:38, GET, /gui/default/attendence, HTTP/1.1, 303, 0.033555
127.0.0.1, 2019-02-07 00:56:38, GET, /gui/default/index.html, HTTP/1.1, 200, 0.019703
127.0.0.1, 2019-02-07 01:04:03, GET, /gui/default/attendence, HTTP/1.1, 303, 0.020064
127.0.0.1, 2019-02-07 01:04:03, GET, /gui/default/index.html, HTTP/1.1, 200, 0.025653
127.0.0.1, 2019-02-07 01:04:57, GET, /gui/default/attendence, HTTP/1.1, 303, 0.018996
127.0.0.1, 2019-02-07 01:04:57, GET, /gui/default/index.html, HTTP/1.1, 200, 0.019689
127.0.0.1, 2019-02-07 01:05:13, GET, /gui/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001264
127.0.0.1, 2019-02-07 01:06:33, GET, /gui/default/index, HTTP/1.1, 200, 0.064525
127.0.0.1, 2019-02-07 01:06:58, GET, /gui/default/attendence, HTTP/1.1, 303, 0.021140
127.0.0.1, 2019-02-07 01:06:58, GET, /gui/default/index.html, HTTP/1.1, 200, 0.020057
127.0.0.1, 2019-02-07 01:12:27, GET, /gui/default/attendence, HTTP/1.1, 303, 0.084623
127.0.0.1, 2019-02-07 01:12:27, GET, /gui/default/index.html, HTTP/1.1, 200, 0.020970
127.0.0.1, 2019-02-07 01:12:29, GET, /gui/default/user/login, HTTP/1.1, 200, 0.191637
127.0.0.1, 2019-02-07 01:13:31, GET, /Attendence/default/index, HTTP/1.1, 200, 2.780795
127.0.0.1, 2019-02-07 01:13:31, GET, /Attendence/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.059730
127.0.0.1, 2019-02-07 01:13:31, GET, /Attendence/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.049221
127.0.0.1, 2019-02-07 01:13:31, GET, /Attendence/static/js/web2py.js, HTTP/1.1, 200, 0.021918
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/js/calendar.js, HTTP/1.1, 200, 0.043738
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/css/calendar.css, HTTP/1.1, 200, 0.027826
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/js/jquery.js, HTTP/1.1, 200, 0.023786
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/js/share.js, HTTP/1.1, 200, 0.006409
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.027317
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000964
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.075338
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/images/background.jpg, HTTP/1.1, 200, 0.057961
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.047888
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/images/twitter.png, HTTP/1.1, 200, 0.042346
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/images/facebook.png, HTTP/1.1, 200, 0.037362
127.0.0.1, 2019-02-07 01:13:32, GET, /Attendence/static/images/gplus-32.png, HTTP/1.1, 200, 0.038119
127.0.0.1, 2019-02-07 10:28:44, GET, /gui/default/attendence, HTTP/1.1, 303, 0.071026
127.0.0.1, 2019-02-07 10:28:44, GET, /gui/default/index.html, HTTP/1.1, 200, 0.031737
127.0.0.1, 2019-02-07 10:31:38, GET, /gui/default/attendence, HTTP/1.1, 303, 0.023270
127.0.0.1, 2019-02-07 10:31:39, GET, /gui/default/index.html, HTTP/1.1, 200, 0.111692
127.0.0.1, 2019-02-07 10:39:06, GET, /gui/default/attendence, HTTP/1.1, 303, 0.023665
127.0.0.1, 2019-02-07 10:39:06, GET, /gui/default/index.html, HTTP/1.1, 200, 0.029305
127.0.0.1, 2019-02-07 10:41:05, GET, /gui/default/index.html, HTTP/1.1, 200, 0.029310
127.0.0.1, 2019-02-07 10:41:05, GET, /gui/static/images/favicon.ico, HTTP/1.1, 200, 0.000786
127.0.0.1, 2019-02-07 10:41:08, GET, /gui/default/attendence, HTTP/1.1, 303, 0.052726
127.0.0.1, 2019-02-07 10:41:08, GET, /gui/default/index.html, HTTP/1.1, 200, 0.022920
127.0.0.1, 2019-02-07 10:41:59, GET, /gui/default/attendence, HTTP/1.1, 303, 0.026944
127.0.0.1, 2019-02-07 10:41:59, GET, /gui/default/index.html, HTTP/1.1, 200, 0.024211
127.0.0.1, 2019-02-07 13:33:18, GET, /gui/default/index.html, HTTP/1.1, 500, 0.236724
127.0.0.1, 2019-02-07 13:33:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2019-02-07 13:33:20, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.13-33-18.ad45ba38-adbe-498d-b949-294389ed44d2, HTTP/1.1, 303, 0.003484
127.0.0.1, 2019-02-07 13:33:20, GET, /admin/default/index, HTTP/1.1, 200, 0.012496
127.0.0.1, 2019-02-07 13:33:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2019-02-07 13:33:23, POST, /admin/default/index, HTTP/1.1, 303, 0.011001
127.0.0.1, 2019-02-07 13:33:23, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.13-33-18.ad45ba38-adbe-498d-b949-294389ed44d2, HTTP/1.1, 200, 0.148391
127.0.0.1, 2019-02-07 13:33:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000463
127.0.0.1, 2019-02-07 13:33:42, GET, /gui/default/index.html, HTTP/1.1, 200, 0.018897
127.0.0.1, 2019-02-07 13:33:43, GET, /gui/static/images/favicon.ico, HTTP/1.1, 200, 0.000851
