127.0.0.1, 2019-04-23 11:54:41, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 0.886223
127.0.0.1, 2019-04-23 11:55:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.034007
127.0.0.1, 2019-04-23 11:55:44, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.561898
127.0.0.1, 2019-04-23 11:58:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.429106
127.0.0.1, 2019-04-23 11:58:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.303079
127.0.0.1, 2019-04-23 11:58:41, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 4.156046
127.0.0.1, 2019-04-23 11:58:45, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 4.411107
127.0.0.1, 2019-04-23 11:58:47, GET, /gui/default/attendence, HTTP/1.1, 303, 4.077962
127.0.0.1, 2019-04-23 11:58:48, GET, /gui/default/index.html, HTTP/1.1, 200, 1.573398
127.0.0.1, 2019-04-23 11:59:31, GET, /gui/default/attendence, HTTP/1.1, 303, 0.903226
127.0.0.1, 2019-04-23 11:59:33, GET, /gui/default/index.html, HTTP/1.1, 200, 1.906483
127.0.0.1, 2019-04-23 12:00:01, GET, /gui/default/upload_attendence, HTTP/1.1, 303, 1.626405
127.0.0.1, 2019-04-23 12:00:02, GET, /gui/default/index.html, HTTP/1.1, 200, 1.033257
127.0.0.1, 2019-04-23 12:00:20, GET, /gui/default/percentile, HTTP/1.1, 303, 14.367253
127.0.0.1, 2019-04-23 12:00:21, GET, /gui/default/index.html, HTTP/1.1, 200, 0.846212
127.0.0.1, 2019-04-23 12:01:20, GET, /gui/default/upload_attendence, HTTP/1.1, 500, 1.323334
127.0.0.1, 2019-04-23 12:01:21, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.12-01-18.38f6384c-6f3c-437e-8939-223fbc8a0d3b, HTTP/1.1, 200, 0.111027
127.0.0.1, 2019-04-23 12:02:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.259061
127.0.0.1, 2019-04-23 12:02:35, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 2.958744
127.0.0.1, 2019-04-23 12:02:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.169042
127.0.0.1, 2019-04-23 12:02:43, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.043766
127.0.0.1, 2019-04-23 12:03:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.230059
127.0.0.1, 2019-04-23 12:03:43, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 2.771698
127.0.0.1, 2019-04-23 12:04:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.160041
127.0.0.1, 2019-04-23 12:04:44, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 4.019014
127.0.0.1, 2019-04-23 12:05:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.225094
127.0.0.1, 2019-04-23 12:06:52, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.335841
127.0.0.1, 2019-04-23 12:06:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.169044
127.0.0.1, 2019-04-23 12:07:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048011
127.0.0.1, 2019-04-23 12:07:43, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 2.937734
127.0.0.1, 2019-04-23 12:08:41, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.485118
127.0.0.1, 2019-04-23 12:08:44, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.943992
127.0.0.1, 2019-04-23 12:09:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.123031
127.0.0.1, 2019-04-23 12:09:43, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 2.902731
127.0.0.1, 2019-04-23 12:10:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.156036
127.0.0.1, 2019-04-23 12:10:43, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 2.979751
127.0.0.1, 2019-04-23 12:11:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.292070
127.0.0.1, 2019-04-23 12:11:43, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 2.919737
127.0.0.1, 2019-04-23 12:12:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.386095
127.0.0.1, 2019-04-23 12:12:45, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 4.470124
127.0.0.1, 2019-04-23 12:13:26, GET, /gui/default/index.html, HTTP/1.1, 500, 1.902479
127.0.0.1, 2019-04-23 12:13:30, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.12-13-24.a97ba38e-7be3-4dcb-894a-7cf432b8a04b, HTTP/1.1, 200, 0.187048
127.0.0.1, 2019-04-23 12:13:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.134031
127.0.0.1, 2019-04-23 12:13:42, GET, /gui/appadmin/hooks, HTTP/1.1, 500, 1.402355
127.0.0.1, 2019-04-23 12:13:55, GET, /admin/default/edit/gui/controllers/default.py, HTTP/1.1, 200, 0.394094
127.0.0.1, 2019-04-23 12:13:57, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.928231
127.0.0.1, 2019-04-23 12:13:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.318327
127.0.0.1, 2019-04-23 12:13:58, GET, /admin/default/edit/gui/controllers/default.py, HTTP/1.1, 200, 1.931486
127.0.0.1, 2019-04-23 12:13:59, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 2.275573
127.0.0.1, 2019-04-23 12:13:59, GET, /gui/appadmin/hooks, HTTP/1.1, 500, 2.423611
127.0.0.1, 2019-04-23 12:13:59, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.386096
127.0.0.1, 2019-04-23 12:14:10, POST, /admin/default/edit/gui/controllers/default.py, HTTP/1.1, 200, 0.054011
127.0.0.1, 2019-04-23 12:14:23, POST, /admin/default/edit/gui/controllers/default.py, HTTP/1.1, 200, 0.144032
127.0.0.1, 2019-04-23 12:14:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.346085
127.0.0.1, 2019-04-23 12:14:58, GET, /gui/appadmin/hooks, HTTP/1.1, 500, 1.449366
127.0.0.1, 2019-04-23 12:15:33, GET, /gui/default/index.html, HTTP/1.1, 500, 2.544644
127.0.0.1, 2019-04-23 12:15:36, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.12-15-30.9126cf25-4614-4a88-b347-8672a982a203, HTTP/1.1, 200, 1.034259
127.0.0.1, 2019-04-23 12:15:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.445112
127.0.0.1, 2019-04-23 12:16:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 2.913737
127.0.0.1, 2019-04-23 12:16:15, GET, /gui/default/index.html, HTTP/1.1, 500, 2.309583
127.0.0.1, 2019-04-23 12:16:21, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.12-16-13.1830d7f7-e669-497d-83ac-e63dfa9b89a4, HTTP/1.1, 200, 1.171295
127.0.0.1, 2019-04-23 12:16:57, GET, /gui/default/index.html, HTTP/1.1, 200, 0.862201
127.0.0.1, 2019-04-23 12:16:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.332084
127.0.0.1, 2019-04-23 12:17:01, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.706938
127.0.0.1, 2019-04-23 12:17:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.560141
127.0.0.1, 2019-04-23 12:18:01, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 4.016011
127.0.0.1, 2019-04-23 12:18:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.469113
127.0.0.1, 2019-04-23 12:19:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.294826
127.0.0.1, 2019-04-23 12:19:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.214053
127.0.0.1, 2019-04-23 12:20:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 2.804706
127.0.0.1, 2019-04-23 12:20:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.354090
127.0.0.1, 2019-04-23 12:21:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.003757
127.0.0.1, 2019-04-23 12:21:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.259064
127.0.0.1, 2019-04-23 12:22:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.196807
127.0.0.1, 2019-04-23 12:22:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.340084
127.0.0.1, 2019-04-23 12:23:02, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 5.020275
127.0.0.1, 2019-04-23 12:23:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.384097
127.0.0.1, 2019-04-23 12:24:01, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.830964
